MATCH    @ [         20][          2]: spike=1, residue=7
MATCH    @ [         20][          3]: spike=0, residue=28
MATCH    @ [         20][          4]: spike=0, residue=23
MATCH    @ [         20][          5]: spike=0, residue=22
MATCH    @ [         20][          6]: spike=0, residue=22
MATCH    @ [         20][          7]: spike=0, residue=21
MATCH    @ [         20][          8]: spike=0, residue=28
MATCH    @ [         20][          9]: spike=0, residue=32
MATCH    @ [         20][         10]: spike=0, residue=26
MATCH    @ [         20][         11]: spike=0, residue=28
MATCH    @ [         20][         12]: spike=0, residue=20
MATCH    @ [         20][         13]: spike=0, residue=24
MATCH    @ [         20][         14]: spike=0, residue=31
MATCH    @ [         20][         15]: spike=1, residue=1
MATCH    @ [         20][         16]: spike=1, residue=3
MATCH    @ [         20][         17]: spike=1, residue=4
MATCH    @ [         20][         18]: spike=1, residue=6
MATCH    @ [         20][         19]: spike=1, residue=3
MATCH    @ [         20][         20]: spike=1, residue=2
